,Node,VRF,Network,Next_Hop,Next_Hop_IP,Protocol,Metric,Admin_Distance,Tag
26,as2dist1,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
27,as2core1,default,10.23.21.0/24,as2border2,2.12.21.1,ospfE2,20,110,
28,as2core2,default,2.34.201.0/24,as2dist2,2.23.22.3,ospfE2,20,110,
29,as2dist2,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
30,as2dist2,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
31,as3border2,default,10.23.21.0/24,as3core1,3.0.2.2,ospfE2,20,110,
32,as3border1,default,3.0.1.0/24,,AUTO/NONE(-1l),connected,0,0,
33,as2dist1,default,2.23.11.3/32,,AUTO/NONE(-1l),local,0,0,
34,as2dist1,default,10.23.21.0/24,as2core1,2.23.11.2,ospfE2,20,110,
35,as2border2,default,2.1.2.2/32,as2core2,2.12.22.2,ospf,2,110,
36,as2core2,default,2.23.11.0/24,as2dist1,2.23.21.3,ospf,2,110,
37,as2border1,default,2.34.101.0/24,as2core1,2.12.11.2,ospfE2,20,110,
38,as2dept1,default,2.34.201.0/24,,AUTO/NONE(-1l),connected,0,0,
39,as2border1,default,2.12.21.0/24,as2core1,2.12.11.2,ospf,2,110,
40,as2core1,default,2.23.12.2/32,,AUTO/NONE(-1l),local,0,0,
41,as2border2,default,2.12.21.0/24,,AUTO/NONE(-1l),connected,0,0,
42,as2dept1,default,2.128.1.0/24,,AUTO/NONE(-1l),connected,0,0,
43,as1core1,default,1.0.1.2/32,,AUTO/NONE(-1l),local,0,0,
44,as2border2,default,2.12.22.1/32,,AUTO/NONE(-1l),local,0,0,
45,as2dept1,default,2.34.101.4/32,,AUTO/NONE(-1l),local,0,0,
46,as1border1,default,1.0.1.0/24,,AUTO/NONE(-1l),connected,0,0,
47,as2dept1,default,2.1.1.2/32,,AUTO/NONE(-1l),connected,0,0,
48,as2dist1,default,2.12.21.0/24,as2core1,2.23.11.2,ospf,2,110,
49,as2dist2,default,2.23.21.0/24,as2core2,2.23.22.2,ospf,2,110,
50,as2dist1,default,2.23.11.0/24,,AUTO/NONE(-1l),connected,0,0,
51,as2dist2,default,2.1.1.2/32,as2core2,2.23.22.2,ospf,3,110,
52,as2dist1,default,10.23.21.0/24,as2core2,2.23.21.2,ospfE2,20,110,
53,as2border2,default,2.34.101.0/24,as2core2,2.12.22.2,ospfE2,20,110,
54,as1border2,default,3.0.1.0/24,as3border2,10.13.22.3,bgp,50,20,
55,as2core2,default,2.128.1.0/24,as2dept1,2.34.201.4,ibgp,50,200,
56,as1core1,default,1.10.1.1/32,,AUTO/NONE(-1l),connected,0,0,
57,as2core1,default,2.23.22.0/24,as2dist2,2.23.12.3,ospf,2,110,
58,as1border1,default,1.0.1.1/32,,AUTO/NONE(-1l),local,0,0,
59,as2dept1,default,3.0.1.0/24,as2dist2,2.34.201.3,bgp,50,20,
60,as3border1,default,10.13.22.0/24,as3core1,3.0.1.2,ospfE2,20,110,
61,as2core1,default,2.23.12.0/24,,AUTO/NONE(-1l),connected,0,0,
62,as3border1,default,2.128.0.0/16,as2border2,10.23.21.2,bgp,50,20,
63,host1,default,2.128.0.101/32,,AUTO/NONE(-1l),local,0,0,
64,as2border2,default,2.1.3.2/32,as2core1,2.12.21.2,ospf,3,110,
65,as2border2,default,2.34.201.0/24,as2core1,2.12.21.2,ospfE2,20,110,
66,as2core1,default,2.1.2.2/32,as2dist2,2.23.12.3,ospf,3,110,
67,as2core2,default,2.1.3.2/32,as2dist2,2.23.22.3,ospf,2,110,
68,as2core2,default,2.128.0.0/24,as2dept1,2.34.101.4,ibgp,50,200,
69,as2core1,default,2.128.0.0/24,as2dept1,2.34.101.4,ibgp,50,200,
70,as2dist2,default,2.23.11.0/24,as2core1,2.23.12.2,ospf,2,110,
71,as2dist2,default,2.1.1.1/32,as2core1,2.23.12.2,ospf,3,110,
72,as3border1,default,3.0.1.1/32,,AUTO/NONE(-1l),local,0,0,
73,as2border1,default,2.1.2.1/32,as2core1,2.12.11.2,ospf,2,110,
74,as2border2,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
75,as2border2,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
76,as3core1,default,3.0.1.0/24,,AUTO/NONE(-1l),connected,0,0,
77,as2dist1,default,2.128.1.0/24,as2dept1,2.34.101.4,bgp,50,20,
78,as3border2,default,10.13.22.3/32,,AUTO/NONE(-1l),local,0,0,
79,as2dist2,default,10.12.11.0/24,as2core2,2.23.22.2,ospfE2,20,110,
80,as2border2,default,2.23.12.0/24,as2core1,2.12.21.2,ospf,2,110,
81,as2border1,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
82,as2border1,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
83,as1core1,default,1.0.1.0/24,,AUTO/NONE(-1l),connected,0,0,
84,as2border1,default,2.12.12.1/32,,AUTO/NONE(-1l),local,0,0,
85,as2border1,default,2.23.22.0/24,as2core2,2.12.12.2,ospf,2,110,
86,as2border1,default,2.34.101.0/24,as2core2,2.12.12.2,ospfE2,20,110,
87,as3border2,default,3.0.2.1/32,,AUTO/NONE(-1l),local,0,0,
88,as2dist1,default,2.128.0.0/16,as2border1,2.1.1.1,ibgp,0,200,
89,as2dist1,default,2.128.0.0/16,as2border1,2.1.1.1,ibgp,0,200,
90,as2border1,default,2.23.11.0/24,as2core1,2.12.11.2,ospf,2,110,
91,as2border2,default,2.1.3.1/32,as2core2,2.12.22.2,ospf,3,110,
92,as2dist2,default,2.128.0.0/16,as2border1,2.1.1.1,ibgp,0,200,
93,as2dist2,default,2.128.0.0/16,as2border1,2.1.1.1,ibgp,0,200,
94,as2dist2,default,2.1.3.1/32,as2core1,2.23.12.2,ospf,3,110,
95,as2dist1,default,2.128.0.0/16,as2border2,2.1.1.2,ibgp,0,200,
96,as2dist1,default,2.128.0.0/16,as2border2,2.1.1.2,ibgp,0,200,
97,as2dist2,default,2.128.0.0/16,as2border2,2.1.1.2,ibgp,0,200,
98,as2dist2,default,2.128.0.0/16,as2border2,2.1.1.2,ibgp,0,200,
99,as2dist1,default,2.23.21.3/32,,AUTO/NONE(-1l),local,0,0,
100,as3core1,default,90.90.90.2/32,,AUTO/NONE(-1l),local,0,0,
101,as3core1,default,90.90.90.0/24,,AUTO/NONE(-1l),connected,0,0,
102,as3core1,default,90.90.90.0/24,,AUTO/NONE(-1l),connected,0,0,
103,as2dist2,default,10.23.21.0/24,as2core2,2.23.22.2,ospfE2,20,110,
104,as1core1,default,10.12.11.0/24,as1border1,1.0.1.1,ospfE2,20,110,
105,as2dist1,default,2.128.0.0/24,as2dept1,2.34.101.4,bgp,50,20,
106,as2core1,default,2.1.3.1/32,as2dist1,2.23.11.3,ospf,2,110,
107,host2,default,2.128.1.101/32,,AUTO/NONE(-1l),local,0,0,
108,as2border1,default,2.12.12.0/24,,AUTO/NONE(-1l),connected,0,0,
109,as2core1,default,2.128.1.0/24,as2dept1,2.34.201.4,ibgp,50,200,
110,as2border1,default,2.128.0.0/24,as2dept1,2.34.101.4,ibgp,50,200,
111,as2border1,default,2.128.0.0/24,as2dept1,2.34.101.4,ibgp,50,200,
112,as2border2,default,2.128.0.0/24,as2dept1,2.34.101.4,ibgp,50,200,
113,as2border2,default,2.128.0.0/24,as2dept1,2.34.101.4,ibgp,50,200,
114,as2border1,default,2.1.3.1/32,as2core2,2.12.12.2,ospf,3,110,
115,as2core2,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
116,as2core1,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
117,as2dist1,default,2.34.201.0/24,as2core2,2.23.21.2,ospfE2,20,110,
118,as2dist1,default,2.1.1.1/32,as2core2,2.23.21.2,ospf,3,110,
119,as2dist2,default,2.34.101.0/24,as2core2,2.23.22.2,ospfE2,20,110,
120,as2dist2,default,2.1.3.2/32,,AUTO/NONE(-1l),connected,0,0,
121,as3core1,default,10.23.21.0/24,as3border1,3.0.1.1,ospfE2,20,110,
122,as2dist2,default,2.34.201.0/24,,AUTO/NONE(-1l),connected,0,0,
123,as2core1,default,2.23.21.0/24,as2dist1,2.23.11.3,ospf,2,110,
124,as2border2,default,3.0.1.0/24,as3border1,10.23.21.3,bgp,50,20,
125,as1border2,default,1.1.1.1/32,as1core1,1.0.2.2,ospf,3,110,
126,as2border2,default,2.12.22.0/24,,AUTO/NONE(-1l),connected,0,0,
127,as2core2,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
128,as1border1,default,1.1.1.1/32,,AUTO/NONE(-1l),connected,0,0,
129,as2core1,default,2.128.0.0/24,as2dept1,2.34.201.4,ibgp,50,200,
130,as2dept1,default,1.0.1.0/24,as2dist1,2.34.101.3,bgp,50,20,
131,as2border1,default,10.23.21.0/24,as2core2,2.12.12.2,ospfE2,20,110,
132,as2border2,default,2.23.21.0/24,as2core2,2.12.22.2,ospf,2,110,
133,as2core1,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
134,as2core1,default,2.128.1.0/24,as2dept1,2.34.101.4,ibgp,50,200,
135,as2core2,default,2.128.0.0/24,as2dept1,2.34.201.4,ibgp,50,200,
136,as2dist2,default,2.1.1.2/32,as2core1,2.23.12.2,ospf,3,110,
137,as2dist2,default,2.12.22.0/24,as2core2,2.23.22.2,ospf,2,110,
138,as2border2,default,3.0.2.0/24,as3border1,10.23.21.3,bgp,50,20,
139,as2core2,default,2.128.1.0/24,as2dept1,2.34.101.4,ibgp,50,200,
140,as2border1,default,2.1.3.2/32,as2core2,2.12.12.2,ospf,3,110,
141,as2core1,default,2.12.12.0/24,as2border1,2.12.11.1,ospf,2,110,
142,as2dept1,default,2.128.0.1/32,,AUTO/NONE(-1l),local,0,0,
143,as2dist2,default,2.34.101.0/24,as2core1,2.23.12.2,ospfE2,20,110,
144,as2dist2,default,10.12.11.0/24,as2core1,2.23.12.2,ospfE2,20,110,
145,as2dist2,default,2.12.12.0/24,as2core2,2.23.22.2,ospf,2,110,
146,as2dist2,default,2.1.2.1/32,as2core1,2.23.12.2,ospf,2,110,
147,as2border1,default,2.23.21.0/24,as2core2,2.12.12.2,ospf,2,110,
148,as2dist1,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
149,as2dist1,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
150,as2dist2,default,2.1.2.2/32,as2core2,2.23.22.2,ospf,2,110,
151,as2dist1,default,2.1.3.2/32,as2core1,2.23.11.2,ospf,3,110,
152,as2dist2,default,2.23.12.0/24,,AUTO/NONE(-1l),connected,0,0,
153,as2dist2,default,2.1.3.1/32,as2core2,2.23.22.2,ospf,3,110,
154,as2dist2,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
155,as2dist2,default,1.0.1.0/24,as1border1,10.12.11.1,ibgp,50,200,
156,as2border2,default,10.23.21.2/32,,AUTO/NONE(-1l),local,0,0,
157,as3border2,default,2.128.0.0/16,as2border2,10.23.21.2,ibgp,50,200,
158,as2border1,default,2.1.3.1/32,as2core1,2.12.11.2,ospf,3,110,
159,as1core1,default,1.1.1.1/32,as1border1,1.0.1.1,ospf,2,110,
160,as3border2,default,3.0.1.0/24,as3core1,3.0.2.2,ospf,2,110,
161,as1border2,default,10.14.22.1/32,,AUTO/NONE(-1l),local,0,0,
162,as3border1,default,3.1.1.1/32,,AUTO/NONE(-1l),connected,0,0,
163,as3border1,default,10.23.21.3/32,,AUTO/NONE(-1l),local,0,0,
164,as2core2,default,2.128.0.0/16,as2border2,2.1.1.2,ibgp,0,200,
165,as2dist1,default,2.23.22.0/24,as2core2,2.23.21.2,ospf,2,110,
166,as2core1,default,2.128.0.0/16,as2border2,2.1.1.2,ibgp,0,200,
167,as2dist1,default,2.23.12.0/24,as2core1,2.23.11.2,ospf,2,110,
168,as2core2,default,10.23.21.0/24,as2border2,2.12.22.1,ospfE2,20,110,
169,as2core2,default,2.23.22.2/32,,AUTO/NONE(-1l),local,0,0,
170,as2core2,default,2.128.0.0/16,as2border1,2.1.1.1,ibgp,0,200,
171,as2core1,default,2.128.0.0/16,as2border1,2.1.1.1,ibgp,0,200,
172,as2border1,default,2.34.201.0/24,as2core1,2.12.11.2,ospfE2,20,110,
173,as2border1,default,2.128.0.0/24,as2dept1,2.34.201.4,ibgp,50,200,
174,as2border1,default,2.128.0.0/24,as2dept1,2.34.201.4,ibgp,50,200,
175,as2dist1,default,2.12.22.0/24,as2core2,2.23.21.2,ospf,2,110,
176,as3core1,default,3.2.2.2/32,as3border2,3.0.2.1,ospf,2,110,
177,as2border1,default,2.12.22.0/24,as2core2,2.12.12.2,ospf,2,110,
178,as2border2,default,2.128.0.0/24,as2dept1,2.34.201.4,ibgp,50,200,
179,as2border2,default,2.128.0.0/24,as2dept1,2.34.201.4,ibgp,50,200,
180,as2core2,default,2.1.3.1/32,as2dist1,2.23.21.3,ospf,2,110,
181,as3core1,default,10.13.22.0/24,as3border2,3.0.2.1,ospfE2,20,110,
182,as2core2,default,2.12.21.0/24,as2border2,2.12.22.1,ospf,2,110,
183,as2border1,default,2.1.3.2/32,as2core1,2.12.11.2,ospf,3,110,
184,as3core1,default,90.90.90.1/32,,AUTO/NONE(-1l),local,0,0,
185,as1border1,default,10.13.22.0/24,as1core1,1.0.1.2,ospfE2,20,110,
186,as2dist1,default,2.1.1.2/32,as2core2,2.23.21.2,ospf,3,110,
187,as2core1,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
188,as2dist1,default,2.34.201.0/24,as2core1,2.23.11.2,ospfE2,20,110,
189,as2core2,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
190,as2dist2,default,2.12.21.0/24,as2core1,2.23.12.2,ospf,2,110,
191,as2dist1,default,2.1.1.1/32,as2core1,2.23.11.2,ospf,3,110,
192,as2border2,default,2.34.101.0/24,as2core1,2.12.21.2,ospfE2,20,110,
193,as2core2,default,2.23.21.2/32,,AUTO/NONE(-1l),local,0,0,
194,as2core1,default,2.1.2.2/32,as2border1,2.12.11.1,ospf,3,110,
195,as2dept1,default,1.0.2.0/24,as2dist2,2.34.201.3,bgp,50,20,
196,as2dist1,default,2.1.3.1/32,,AUTO/NONE(-1l),connected,0,0,
197,as2border2,default,2.1.2.1/32,as2core1,2.12.21.2,ospf,2,110,
198,as2border1,default,2.1.1.2/32,as2core2,2.12.12.2,ospf,3,110,
199,as2border2,default,2.1.1.2/32,,AUTO/NONE(-1l),connected,0,0,
200,host2,default,0.0.0.0/0,as2dept1,2.128.1.1,static,0,1,
201,as2core2,default,2.1.2.1/32,as2dist2,2.23.22.3,ospf,3,110,
202,as2border2,default,2.1.3.2/32,as2core2,2.12.22.2,ospf,3,110,
203,as2border2,default,2.34.201.0/24,as2core2,2.12.22.2,ospfE2,20,110,
204,as2dept1,default,3.0.2.0/24,as2dist2,2.34.201.3,bgp,50,20,
205,as2border1,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
206,as2border1,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
207,as2core1,default,2.1.2.2/32,as2dist1,2.23.11.3,ospf,3,110,
208,as1core1,default,3.0.2.0/24,as3border2,10.13.22.3,ibgp,50,200,
209,as2dept1,default,2.128.0.0/24,,AUTO/NONE(-1l),connected,0,0,
210,as3core1,default,1.0.1.0/24,as1border2,10.13.22.1,ibgp,50,200,
211,as3border2,default,3.0.2.0/24,,AUTO/NONE(-1l),connected,0,0,
212,as2core1,default,2.23.11.0/24,,AUTO/NONE(-1l),connected,0,0,
213,as2dist2,default,2.23.22.0/24,,AUTO/NONE(-1l),connected,0,0,
214,as1border1,default,3.0.2.0/24,as3border2,10.13.22.3,ibgp,50,200,
215,as2dist2,default,2.12.11.0/24,as2core1,2.23.12.2,ospf,2,110,
216,as2dept1,default,2.128.1.1/32,,AUTO/NONE(-1l),local,0,0,
217,as3core1,default,3.1.1.1/32,as3border1,3.0.1.1,ospf,2,110,
218,as2border1,default,2.34.201.0/24,as2core2,2.12.12.2,ospfE2,20,110,
219,as1border1,default,1.2.2.2/32,as1core1,1.0.1.2,ospf,3,110,
220,as1border2,default,1.0.1.0/24,as1core1,1.0.2.2,ospf,2,110,
221,as1border1,default,1.10.1.1/32,as1core1,1.0.1.2,ospf,2,110,
222,as2dist1,default,2.1.3.2/32,as2core2,2.23.21.2,ospf,3,110,
223,as2border2,default,2.12.12.0/24,as2core2,2.12.22.2,ospf,2,110,
224,as2core1,default,2.23.11.2/32,,AUTO/NONE(-1l),local,0,0,
225,as1border2,default,3.0.2.0/24,as3border2,10.13.22.3,bgp,50,20,
226,as1border2,default,10.14.22.0/24,,AUTO/NONE(-1l),connected,0,0,
227,as1border1,default,2.128.0.0/16,as2border1,10.12.11.2,bgp,50,20,
228,as1border2,default,10.12.11.0/24,as1core1,1.0.2.2,ospfE2,20,110,
229,as2border2,default,2.12.21.1/32,,AUTO/NONE(-1l),local,0,0,
230,as2core1,default,2.12.11.2/32,,AUTO/NONE(-1l),local,0,0,
231,as2core1,default,2.34.101.0/24,as2dist1,2.23.11.3,ospfE2,20,110,
232,as2core1,default,2.12.11.0/24,,AUTO/NONE(-1l),connected,0,0,
233,as2dept1,default,1.0.2.0/24,as2dist1,2.34.101.3,bgp,50,20,
234,as2border1,default,2.1.1.2/32,as2core1,2.12.11.2,ospf,3,110,
235,as2core1,default,2.1.2.1/32,,AUTO/NONE(-1l),connected,0,0,
236,as2dist1,default,2.34.101.3/32,,AUTO/NONE(-1l),local,0,0,
237,as2dist2,default,10.23.21.0/24,as2core1,2.23.12.2,ospfE2,20,110,
238,as2core1,default,10.12.11.0/24,as2border1,2.12.11.1,ospfE2,20,110,
239,as2border2,default,10.12.11.0/24,as2core1,2.12.21.2,ospfE2,20,110,
240,as2border1,default,2.23.12.0/24,as2core1,2.12.11.2,ospf,2,110,
241,as2dist2,default,2.23.12.3/32,,AUTO/NONE(-1l),local,0,0,
242,as2core2,default,2.23.21.0/24,,AUTO/NONE(-1l),connected,0,0,
243,as2border2,default,2.12.11.0/24,as2core1,2.12.21.2,ospf,2,110,
244,as2dist1,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
245,as2dist1,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
246,as2dist2,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
247,as2dist2,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
248,as1border2,default,1.10.1.1/32,as1core1,1.0.2.2,ospf,2,110,
249,as2core1,default,2.1.1.2/32,as2border2,2.12.21.1,ospf,2,110,
250,as2dept1,default,2.34.101.0/24,,AUTO/NONE(-1l),connected,0,0,
251,as1border2,default,2.128.0.0/16,as2border1,10.12.11.2,ibgp,50,200,
252,as2border1,default,2.1.1.1/32,,AUTO/NONE(-1l),connected,0,0,
253,as3border1,default,1.0.2.0/24,as1border2,10.13.22.1,ibgp,50,200,
254,as3core1,default,3.0.2.0/24,,AUTO/NONE(-1l),connected,0,0,
255,as2core1,default,2.1.3.2/32,as2dist2,2.23.12.3,ospf,2,110,
256,as2core2,default,2.1.2.1/32,as2border1,2.12.12.1,ospf,3,110,
257,as2core2,default,2.12.22.2/32,,AUTO/NONE(-1l),local,0,0,
258,as2dist2,default,2.1.1.1/32,as2core2,2.23.22.2,ospf,3,110,
259,as2core1,default,2.12.21.0/24,,AUTO/NONE(-1l),connected,0,0,
260,as2core1,default,2.34.201.0/24,as2dist2,2.23.12.3,ospfE2,20,110,
261,as2border1,default,10.12.11.2/32,,AUTO/NONE(-1l),local,0,0,
262,as2border2,default,2.23.22.0/24,as2core2,2.12.22.2,ospf,2,110,
263,as2border2,default,2.128.1.0/24,as2dept1,2.34.101.4,ibgp,50,200,
264,as2border2,default,2.128.1.0/24,as2dept1,2.34.101.4,ibgp,50,200,
265,as2dist1,default,2.12.12.0/24,as2core2,2.23.21.2,ospf,2,110,
266,as2border1,default,2.128.1.0/24,as2dept1,2.34.101.4,ibgp,50,200,
267,as2border1,default,2.128.1.0/24,as2dept1,2.34.101.4,ibgp,50,200,
268,as3border2,default,1.0.2.0/24,as1border2,10.13.22.1,bgp,50,20,
269,as1core1,default,2.128.0.0/16,as2border1,10.12.11.2,ibgp,50,200,
270,as2border2,default,2.23.11.0/24,as2core1,2.12.21.2,ospf,2,110,
271,as2border2,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
272,as2border2,default,1.0.2.0/24,as1border1,10.12.11.1,ibgp,50,200,
273,as2core2,default,2.1.2.1/32,as2border2,2.12.22.1,ospf,3,110,
274,as3border1,default,10.23.21.0/24,,AUTO/NONE(-1l),connected,0,0,
275,as2core2,default,10.12.11.0/24,as2border1,2.12.12.1,ospfE2,20,110,
276,as2border1,default,1.0.2.0/24,as1border1,10.12.11.1,bgp,50,20,
277,as2dist1,default,10.12.11.0/24,as2core2,2.23.21.2,ospfE2,20,110,
278,as3border2,default,3.10.1.1/32,as3core1,3.0.2.2,ospf,2,110,
279,as3core1,default,3.0.1.2/32,,AUTO/NONE(-1l),local,0,0,
280,as1border1,default,1.0.2.0/24,as1core1,1.0.1.2,ospf,2,110,
281,as2core2,default,2.23.12.0/24,as2dist2,2.23.22.3,ospf,2,110,
282,as3border2,default,3.1.1.1/32,as3core1,3.0.2.2,ospf,3,110,
283,as2dist2,default,2.23.22.3/32,,AUTO/NONE(-1l),local,0,0,
284,as2dept1,default,3.0.2.0/24,as2dist1,2.34.101.3,bgp,50,20,
285,as1core1,default,1.2.2.2/32,as1border2,1.0.2.1,ospf,2,110,
286,as1border2,default,1.0.2.1/32,,AUTO/NONE(-1l),local,0,0,
287,as2border1,default,2.12.11.0/24,,AUTO/NONE(-1l),connected,0,0,
288,as2core2,default,2.1.1.1/32,as2border1,2.12.12.1,ospf,2,110,
289,as2core2,default,2.34.101.0/24,as2dist1,2.23.21.3,ospfE2,20,110,
290,as1border2,default,10.13.22.1/32,,AUTO/NONE(-1l),local,0,0,
291,as3border1,default,3.0.2.0/24,as3core1,3.0.1.2,ospf,2,110,
292,as2border1,default,1.0.1.0/24,as1border1,10.12.11.1,bgp,50,20,
293,as1core1,default,1.0.2.0/24,,AUTO/NONE(-1l),connected,0,0,
294,as3core1,default,1.0.2.0/24,as1border2,10.13.22.1,ibgp,50,200,
295,as2core2,default,2.12.11.0/24,as2border1,2.12.12.1,ospf,2,110,
296,as2border2,default,2.1.3.1/32,as2core1,2.12.21.2,ospf,3,110,
297,as2core2,default,2.12.12.0/24,,AUTO/NONE(-1l),connected,0,0,
298,as2dept1,default,2.34.201.4/32,,AUTO/NONE(-1l),local,0,0,
299,as3border2,default,3.2.2.2/32,,AUTO/NONE(-1l),connected,0,0,
300,as1border1,default,10.14.22.0/24,as1core1,1.0.1.2,ospfE2,20,110,
301,as2border2,default,2.128.1.0/24,as2dept1,2.34.201.4,ibgp,50,200,
302,as2border2,default,2.128.1.0/24,as2dept1,2.34.201.4,ibgp,50,200,
303,as1core1,default,10.13.22.0/24,as1border2,1.0.2.1,ospfE2,20,110,
304,as2border1,default,2.128.1.0/24,as2dept1,2.34.201.4,ibgp,50,200,
305,as2border1,default,2.128.1.0/24,as2dept1,2.34.201.4,ibgp,50,200,
306,as2border1,default,10.12.11.0/24,,AUTO/NONE(-1l),connected,0,0,
307,as2core2,default,2.1.2.1/32,as2dist1,2.23.21.3,ospf,3,110,
308,as2core2,default,2.12.12.2/32,,AUTO/NONE(-1l),local,0,0,
309,host1,default,2.128.0.0/24,,AUTO/NONE(-1l),connected,0,0,
310,as2border1,default,2.128.0.0/16,,AUTO/NONE(-1l),aggregate,0,200,
311,as2dist1,default,2.1.2.1/32,as2core1,2.23.11.2,ospf,2,110,
312,as2dist1,default,2.34.101.0/24,,AUTO/NONE(-1l),connected,0,0,
313,as1core1,default,1.0.2.2/32,,AUTO/NONE(-1l),local,0,0,
314,as2dist1,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
315,as2dist1,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
316,as2dept1,default,3.0.1.0/24,as2dist1,2.34.101.3,bgp,50,20,
317,host1,default,0.0.0.0/0,as2dept1,2.128.0.1,static,0,1,
318,as2dist2,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
319,as2dist2,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
320,as1border2,default,1.0.2.0/24,,AUTO/NONE(-1l),connected,0,0,
321,as3core1,default,3.0.2.2/32,,AUTO/NONE(-1l),local,0,0,
322,as3border1,default,1.0.1.0/24,as1border2,10.13.22.1,ibgp,50,200,
323,as2dist2,default,2.128.1.0/24,as2dept1,2.34.201.4,bgp,50,20,
324,as2border1,default,2.12.11.1/32,,AUTO/NONE(-1l),local,0,0,
325,as2border2,default,2.1.1.1/32,as2core2,2.12.22.2,ospf,3,110,
326,as2core1,default,2.12.21.2/32,,AUTO/NONE(-1l),local,0,0,
327,as2dist1,default,2.1.1.2/32,as2core1,2.23.11.2,ospf,3,110,
328,as3border2,default,1.0.1.0/24,as1border2,10.13.22.1,bgp,50,20,
329,as2core1,default,2.1.2.2/32,as2border2,2.12.21.1,ospf,3,110,
330,as3border1,default,3.2.2.2/32,as3core1,3.0.1.2,ospf,3,110,
331,as2core2,default,2.12.22.0/24,,AUTO/NONE(-1l),connected,0,0,
